instrument,file,note,midi,expected_hz,detected_hz,cent_offset,warning
XYLOPHONE,XYLO C#6.aif,C#6,85,1108.731,4473.098,1214.84,NOTE: detected at 2x harmonic — divided down
XYLOPHONE,XYLO C#7.aif,C#7,97,2217.461,4482.623,18.52,NOTE: detected at 2x harmonic — divided down
XYLOPHONE,XYLO D#5.aif,D#5,75,622.254,626.983,13.11,
XYLOPHONE,XYLO D#6.aif,D#6,87,1244.508,3765.323,716.64,NOTE: detected at 2x harmonic — divided down
XYLOPHONE,XYLO F4.aif,F4,65,349.228,351.984,13.61,
XYLOPHONE,XYLO F5.aif,F5,77,698.456,703.14,11.57,
XYLOPHONE,XYLO F6.aif,F6,89,1396.913,4244.627,724.07,NOTE: detected at 2x harmonic — divided down
XYLOPHONE,XYLO F7.aif,F7,101,2793.826,2823.698,18.41,
XYLOPHONE,XYLO G#7.aif,G#7,104,3322.438,3886.667,271.55,
XYLOPHONE,XYLO G4.aif,G4,67,391.995,394.987,13.16,
XYLOPHONE,XYLO G5.aif,G5,79,783.991,789.734,12.64,
XYLOPHONE,XYLO G6.aif,G6,91,1567.982,4749.208,718.53,NOTE: detected at 2x harmonic — divided down
