
==============================================================================
Chorale: bwv253  (suffix: -opt.npy, spread_weight: 0.9)
==============================================================================
  Directory                                    lm   Mean    Max  MaxCh   Spread   Combined
  t2_r1.75_s0_md33_sn0_lm17                    17   65.9   1123    158     13.4       78.0
  t1_r1.25_s0_md33_sn0_lm17                    17   67.0   1118    160     12.4       78.1
  t2_r1.125_s0_md33_sn0_lm17                   17   66.2   1123    158     13.6       78.4
  t1_r1.625_lm17_tmp3.0                        17   66.4   1109    160     13.4       78.5
  t2_r1.75_s0_md33_sn0_lm19                    19   65.9   1123    158     14.8       79.2
  t1_r1.5_s0_md33_sn0_lm19                     19   67.4   1213    158     13.8       79.8
  t2_r1.25_lm19_tmp3.0                         19   66.9   1123    158     14.6       80.1
  t2_r1.625_lm19_tmp3.0                        19   82.9   3045    150     12.0       93.7
  t2_r1.625_lm17_tmp3.0                        17   89.6   2135    160     11.3       99.7
  t2_r1.375_lm17_tmp3.0                        17   89.9   2122    160     11.2       99.9
  t2_r1.375_s0_md33_sn0_lm17                   17   89.7   2135    160     11.9      100.4
  t2_r1.5_s0_md33_sn0_lm19                     19   90.3   2122    160     11.3      100.4
  t2_r1.25_s0_md33_sn0_lm19                    19   89.6   2119    148     12.6      100.9
  t2_r1.25_lm17_tmp3.0                         17   90.1   2122    160     12.1      101.0
  t2_r1.625_s0_md33_sn0_lm17                   17   89.8   2119    148     12.7      101.2
  t2_r1.5_lm17_tmp3.0                          17   90.1   2122    160     12.3      101.2
  t2_r1.125_s0_md33_sn0_lm19                   19   90.6   2122    160     13.5      102.7
  t2_r1.75_s0_md33_sn0_lm23                    23  104.2   3142    156     18.6      121.0
  t2_r1.125_lm19_tmp3.0                        19  117.5   3144    147     13.4      129.5

  Winner: t1_r1.375_lm19_tmp3.0
    mean=54.8, max=145 at chord 158, spread=11.5, combined=65.1

==============================================================================
Chorale: bwv255  (suffix: -opt.npy, spread_weight: 0.9)
==============================================================================
  Directory                                    lm   Mean    Max  MaxCh   Spread   Combined
  ------------------------------------------   --  -----  -----  -----  -------  ---------
  t1_r1.5_s0_md33_sn0_lm19                     19   50.8     82     42      9.9       59.7 <-- BEST
  t2_r1.375_s0_md33_sn0_lm19                   19   50.8     82     42     10.1       59.8
  t2_r1.375_s0_md33_sn0_lm17                   17   50.8     82     42     10.2       60.0
  t2_r1.75_s0_md33_sn0_lm23                    23   51.2     96     88     11.7       61.8
  t2_r1.75_s0_md33_sn0_lm19                    19   50.8     82     42     12.6       62.1
  t1_r1.5_s0_md33_sn0_lm17                     17   50.9     82     42     12.6       62.2
  t2_r1.375_lm17_tmp3.0                        17   50.9     82     42     12.6       62.2
  t2_r1.125_lm17_tmp3.0                        17   50.9     82     42     12.7       62.4
  t2_r1.625_lm19_tmp3.0                        19   50.9     82     42     12.7       62.4
  t2_r1.625_s0_md33_sn0_lm17                   17   50.9     82     42     12.9       62.5
  t1_r1.625_s0_md33_sn0_lm17                   17   50.9     82     42     13.1       62.7
  t1_r1.125_lm19_tmp3.0                        19   50.9     82     42     13.5       63.0
  t1_r1.25_lm19_tmp3.0                         19   50.9     82     42     13.4       63.0
  t1_r1.25_s0_md33_sn0_lm19                    19   50.9     82     42     13.7       63.3
  t1_r1.25_s0_md33_sn0_lm17                    17   50.8     82     42     14.0       63.3
  t1_r1.125_s0_md33_sn0_lm19                   19   50.9     82     42     13.8       63.4
  t2_r1.375_lm19_tmp3.0                        19   50.9     82     42     13.8       63.4
