limit_max,tolerance,rolls,spread,n_trials,mean_score,median_score,min_score,max_score,p10_score,p90_score,score_std,mean_ms,median_ms,p90_ms,max_ms,n_chords
17,1,0,0,1,5162.814990512334,5071.0,3021.0,6178.0,5056.0,6122.0,0.0,0.033393280445357686,0.027001951821148396,0.049322471022605896,0.05784304812550545,2108
17,1,1,0,1,295.88187855787476,45.0,21.0,2107.0,43.0,1088.0,0.0,0.8256894168483109,0.2455690409988165,2.251370786689224,4.732678993605077,2108
17,1,5,0,1,293.96157495256165,45.0,21.0,2107.0,43.0,1088.0,0.0,2.019431711049328,0.8689449168741703,6.483482779003684,11.246390058659017,2108
17,1,8,0,1,293.96157495256165,45.0,21.0,2107.0,43.0,1088.0,0.0,2.342920748702511,1.2828669277951121,6.983076571486891,12.296263012103736,2108
17,2,0,0,1,3531.410815939279,3071.0,21.0,6178.0,3056.0,5122.0,0.0,0.03357090968258527,0.02716807648539543,0.04981101956218481,0.05689298268407583,2108
17,2,1,0,1,285.8795066413662,45.0,21.0,2121.0,43.0,1088.0,0.0,0.9216589513285106,0.4592629848048091,2.4268614128232007,4.863420967012644,2108
17,2,5,0,1,247.5056925996205,45.0,21.0,2121.0,43.0,1088.0,0.0,2.161516240011959,0.9075929410755634,6.960161472670735,11.924767051823437,2108
17,2,8,0,1,247.5056925996205,45.0,21.0,2121.0,43.0,1088.0,0.0,2.4437035400686518,1.3296519173309207,7.3317071888595855,12.095674988813698,2108
17,3,0,0,1,3334.0673624288424,3071.0,21.0,5110.0,3056.0,4122.0,0.0,0.0336115162692168,0.027079018764197826,0.04983781836926937,0.06013794336467981,2108
17,3,1,0,1,192.561669829222,45.0,21.0,2089.0,43.0,140.0,0.0,0.9488591557873988,0.4735770635306835,2.4889271939173345,4.906988004222512,2108
17,3,5,0,1,106.22865275142316,45.0,21.0,2059.0,43.0,88.0,0.0,2.2015199565528785,0.9134819265455008,6.898846500553191,12.034698971547186,2108
17,3,8,0,1,106.22865275142316,45.0,21.0,2059.0,43.0,88.0,0.0,2.523188768675839,1.349346013739705,7.486252067610622,12.280158000066876,2108
17,4,0,0,1,3011.96110056926,3056.0,21.0,5045.0,2099.0,4073.0,0.0,0.03354453734968569,0.026986002922058105,0.050022988580167294,0.055718934163451195,2108
