
==============================================================================
Chorale: bwv253  (suffix: -trans-sa-opt.npy, spread_weight: 0.9)
==============================================================================
  Directory                                    lm   Mean    Max  MaxCh   Spread   Combined
  t1_r1.375_lm17_tmp3.0                        17   66.8   1145    160     13.0       78.5
  t2_r1.75_s0_md33_sn0_lm19                    19   65.9   1123    158     14.5       78.9
  t2_r1.625_s0_md33_sn0_lm19                   19   65.8   1123    158     14.7       79.0
  t2_r1.5_s0_md33_sn0_lm17                     17   66.0   1123    158     14.5       79.0
  t2_r1.125_s0_md33_sn0_lm17                   17   66.2   1123    158     14.3       79.0
  t1_r1.5_s0_md33_sn0_lm19                     19   67.4   1213    158     13.5       79.5
  t2_r1.5_lm19_tmp3.0                          19   66.8   1123    158     14.5       79.8
  t1_r1.25_s0_md33_sn0_lm17                    17   67.0   1118    160     14.9       80.4
  t1_r1.125_lm17_tmp3.0                        17   67.4   1149    160     15.5       81.3
  t2_r1.625_lm19_tmp3.0                        19   82.9   3045    150     12.4       94.1
  t2_r1.375_lm17_tmp3.0                        17   89.9   2122    160     13.0      101.6
  t2_r1.375_s0_md33_sn0_lm17                   17   89.7   2135    160     14.2      102.5
  t2_r1.625_lm17_tmp3.0                        17   89.6   2135    160     14.5      102.6
  t2_r1.25_lm17_tmp3.0                         17   90.1   2122    160     14.4      103.0
  t2_r1.25_s0_md33_sn0_lm19                    19   89.6   2119    148     14.9      103.0
  t2_r1.5_lm17_tmp3.0                          17   90.1   2122    160     14.8      103.4
  t2_r1.125_s0_md33_sn0_lm19                   19   90.6   2122    160     14.7      103.7
  t2_r1.5_s0_md33_sn0_lm19                     19   90.3   2122    160     15.2      104.0
  t2_r1.625_s0_md33_sn0_lm17                   17   89.8   2119    148     16.2      104.3
  t2_r1.75_s0_md33_sn0_lm23                    23  104.2   3142    156     14.6      117.4
  t2_r1.125_lm19_tmp3.0                        19  117.5   3144    147     13.3      129.5

  Winner: t1_r1.5_lm17_tmp3.0
    mean=54.9, max=145 at chord 158, spread=11.3, combined=65.1

==============================================================================
Chorale: bwv255  (suffix: -trans-sa-opt.npy, spread_weight: 0.9)
==============================================================================
  Directory                                    lm   Mean    Max  MaxCh   Spread   Combined
  ------------------------------------------   --  -----  -----  -----  -------  ---------
  t2_r1.375_s0_md33_sn0_lm19                   19   50.8     82     42     12.5       62.0 <-- BEST
  t4_r1.75_s0_md33_sn0_lm19                    19   50.8     82     42     14.0       63.4
  t1_r1.375_lm19_tmp3.0                        19   50.9     82     42     14.3       63.8
  t1_r1.375_lm17_tmp3.0                        17   50.9     82     42     14.4       63.9
  t2_r1.25_s0_md33_sn0_lm17                    17   50.9     82     42     14.5       64.0
  t1_r1.25_s0_md33_sn0_lm17                    17   50.8     82     42     14.7       64.0
  t1_r1.375_s0_md33_sn0_lm17                   17   50.9     82     42     14.6       64.1
  t1_r1.625_lm19_tmp3.0                        19   50.9     82     42     14.6       64.1
  t1_r1.125_s0_md33_sn0_lm17                   17   50.9     82     42     14.9       64.4
  t1_r1.25_lm19_tmp3.0                         19   50.9     82     42     14.9       64.4
  t2_r1.375_s0_md33_sn0_lm17                   17   50.8     82     42     15.1       64.4
  t2_r1.625_s0_md33_sn0_lm17                   17   50.9     82     42     15.0       64.4
  t1_r1.125_lm17_tmp3.0                        17   50.9     82     42     15.2       64.6
  t2_r1.5_lm17_tmp3.0                          17   50.9     82     42     15.5       64.9
  t1_r1.5_s0_md33_sn0_lm19                     19   50.8     82     42     15.7       64.9
  t1_r1.125_s0_md33_sn0_lm19                   19   50.9     82     42     15.6       65.0
  t2_r1.25_lm17_tmp3.0                         17   50.9     82     42     16.0       65.3
  t1_r1.125_lm19_tmp3.0                        19   50.9     82     42     16.1       65.4
  t1_r1.75_s0_md33_sn0_lm17                    17   50.8     82     42     16.5       65.6
  t2_r1.125_lm17_tmp3.0                        17   50.9     82     42     16.3       65.6
  t1_r1.5_s0_md33_sn0_lm17                     17   50.9     82     42     16.3       65.6
  t2_r1.375_lm17_tmp3.0                        17   50.9     82     42     16.4       65.7
  t2_r1.625_s0_md33_sn0_lm19                   19   50.9     82     42     16.5       65.7
  t2_r1.75_s0_md33_sn0_lm17                    17   50.8     82     42     16.6       65.7
  t2_r1.125_lm19_tmp3.0                        19   50.9     82     42     16.6       65.8
  t2_r1.75_s0_md33_sn0_lm23                    23   51.2     96     88     16.2       65.9
  t2_r1.25_s0_md33_sn0_lm19                    19   50.9     82     42     16.9       66.1
  t1_r1.5_lm17_tmp3.0                          17   50.9     82     42     17.0       66.2
  t2_r1.625_lm19_tmp3.0                        19   50.9     82     42     17.1       66.3
  t1_r1.625_s0_md33_sn0_lm19                   19   50.9     82     42     17.1       66.3
  t1_r1.625_s0_md33_sn0_lm17                   17   50.9     82     42     17.2       66.4
  t2_r1.25_lm19_tmp3.0                         19   50.9     82     42     17.3       66.5
  t2_r1.5_s0_md33_sn0_lm17                     17   50.9     82     42     17.5       66.7
  t2_r1.375_lm19_tmp3.0                        19   50.9     82     42     17.9       67.0
  t2_r1.75_s0_md33_sn0_lm19                    19   50.8     82     42     18.3       67.2
  t2_r1.625_lm17_tmp3.0                        17   50.9     82     42     18.2       67.3
  t1_r1.5_lm19_tmp3.0                          19   50.9     82     42     18.5       67.5
  t1_r1.625_lm17_tmp3.0                        17   50.9     82     42     18.7       67.8
